"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"French Polynesia",37,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","March 25, 2019","Not yet restricted"
"Gabon",7,0,1,0,"Imported cases only",5,"Level 1: Exercise Normal Precautions","January 10, 2019","Not yet restricted"
"Georgia",121,6,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","April 9, 2019","Not yet restricted"
"Germany",73522,6156,872,140,"Local transmission",0,"Level 2: Exercise Increased Caution","June 19, 2019","Restricted"
"Ghana",195,43,5,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 17, 2019","Not yet restricted"
"Greece",1375,61,50,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 5, 2019","Restricted"
"Grenada",9,0,0,0,"Local transmission",2,"Level 1: Exercise Normal Precautions","February 25, 2019","Not yet restricted"
"Guatemala",39,3,1,0,"Local transmission",0,"Level 2: Exercise Increased Caution","February 28, 2019","Not yet restricted"
"Guinea",30,14,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","February 13, 2020","Not yet restricted"
"Guinea-Bissau",9,0,0,0,"Imported cases only",1,"Level 3: Reconsider Travel","October 3, 2019","Not yet restricted"
"Guyana",19,7,2,0,"Local transmission",0,"Level 2: Exercise Increased Caution","May 30, 2019","Not yet restricted"
"Haiti",16,1,0,0,"Imported cases only",0,"Level 4: Do Not Travel","March 5, 2020","Restricted"
"Honduras",172,33,10,8,"Local transmission",0,"Level 3: Reconsider Travel","June 24, 2019","Not yet restricted"
"Hungary",525,33,20,4,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 22, 2019","Restricted"
"Iceland",1220,85,2,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","June 20, 2019","Not yet restricted"
"India",1636,0,38,0,"Local transmission",1,"Level 2: Exercise Increased Caution","March 8, 2019","Restricted"
"Indonesia",1677,149,157,21,"Local transmission",0,"Level 4: Do Not Travel","March 26, 2020","Restricted"
"Iran",47593,2987,3036,138,"Local transmission",0,"Level 4: Do Not Travel","February 26, 2020","Not yet restricted"
"Iraq",728,34,52,2,"Local transmission",0,"Level 4: Do Not Travel","March 26, 2020","Not yet restricted"
"Ireland",3447,212,85,14,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 4, 2019","Not yet restricted"
"Italy",110574,4782,13157,727,"Local transmission",0,"Level 3: Reconsider Travel","February 29, 2020","Restricted"
"Jamaica",38,2,1,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 15, 2019","Not yet restricted"
"Japan",2384,206,57,0,"Local transmission",0,"Level 2: Exercise Increased Caution","February 22, 2020","Restricted"
"Jordan",278,4,5,0,"Local transmission",0,"Level 2: Exercise Increased Caution","December 12, 2018","Restricted"
"Kazakhstan",386,38,3,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","April 3, 2019","Not yet restricted"
"Kenya",81,31,1,0,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Kuwait",317,28,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Latvia",446,48,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 25, 2019","Not yet restricted"
"Lebanon",479,16,12,0,"Local transmission",0,"Level 3: Reconsider Travel","March 18, 2020","Not yet restricted"
"Liberia",6,3,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 7, 2019","Not yet restricted"
"Libya",10,0,0,0,"Local transmission",1,"Level 4: Do Not Travel","April 9, 2019","Not yet restricted"
"Liechtenstein",72,4,0,0,"Under investigation",0,"Level 1: Exercise Normal Precautions","October 8, 2019","Not yet restricted"
"Lithuania",581,48,8,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","June 4, 2019","Not yet restricted"
"Luxembourg",2319,141,29,6,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 29, 2020","Not yet restricted"
"Madagascar",53,0,0,0,"Local transmission",1,"Level 2: Exercise Increased Caution","July 17, 2019","Not yet restricted"
"Malaysia",2908,142,45,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","April 9, 2019","Restricted"
"Maldives",18,0,0,0,"Local transmission",1,"Level 2: Exercise Increased Caution","May 2, 2019","Not yet restricted"
"Mali",28,10,0,0,"Local transmission",0,"Level 4: Do Not Travel","December 23, 2019","Not yet restricted"
"Malta",188,21,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 1, 2019","Not yet restricted"
"Mauritania",5,0,0,0,"Imported cases only",4,"Level 2: Exercise Increased Caution","December 26, 2019","Not yet restricted"
"Mauritius",154,11,5,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 18, 2019","Not yet restricted"
"Mexico",1215,121,29,1,"Local transmission",0,"Level 2: Exercise Increased Caution","December 17, 2019","Restricted"
"Moldova",423,70,5,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 17, 2019","Not yet restricted"
"Mongolia",14,2,0,0,"Imported cases only",0,"Level 4: Do Not Travel","March 18, 2020","Not yet restricted"
"Montenegro",120,15,2,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 15, 2020","Not yet restricted"
"Montserrat",5,0,0,0,"Imported cases only",5,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Morocco",676,38,39,3,"Local transmission",0,"Level 2: Exercise Increased Caution","April 2, 2019","Restricted"
"Mozambique",10,2,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","February 6, 2019","Not yet restricted"
"Namibia",11,0,0,0,"Imported cases only",3,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Nepal",5,0,0,0,"Imported cases only",4,"Level 2: Exercise Increased Caution","January 2, 2020","Not yet restricted"
"Netherlands",13614,1019,1173,134,"Local transmission",0,"Level 2: Exercise Increased Caution","July 19, 2019","Not yet restricted"
"New Caledonia",16,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","April 1, 2019","Not yet restricted"
